,Unnamed: 0,code,最新价,最新涨跌幅,market_code,股票代码,流通a股[20100104],股票简称,dde大单净流入量[20100104],资金流向[20100104],dde大单净量[20100104],集中度90[20100104],主力资金流向[20100104],主力卖出金额[20100104],90%成本上限[20100104],主力买入金额[20100104],平均成本[20100104],资金流出inner[20100104],收盘获利[20100104],集中度70[20100104],90%成本下限[20100104],资金流入inner[20100104]
81,,600794,3.51,1.739,17,600794.SH,178263322.0,保税科技,-159553.0,-1911946.0,-0.08950411,14.286,-1753324.0,1753324.0,2.0,0.0,1.86,8478407.0,40.18,6.011,1.5,6566461.0
82,,002781,6.51,5.000,33,002781.SZ,,*ST奇信,,,,,,,,,,,,,,
83,,600855,10.94,7.571,17,600855.SH,233202000.0,航天长峰,657260.0,282103.0,0.28184149,9.206,2887209.0,6314256.0,12.1,9201465.0,11.2,20674931.0,18.483,6.278,10.06,20957034.0
84,,002769,7.38,3.944,33,002769.SZ,,普路通,,,,,,,,,,,,,,
85,,600868,2.77,0.727,17,600868.SH,1898148679.0,梅雁吉祥,-2126080.0,-11268599.0,-0.11200809,12.624,-7994410.0,17754538.0,3.97,9760128.0,3.69,34697613.0,42.43,9.45,3.08,23429014.0
86,,002748,12.23,2.343,33,002748.SZ,,世龙实业,,,,,,,,,,,,,,
87,,002718,13.88,1.685,33,002718.SZ,,友邦吊顶,,,,,,,,,,,,,,
88,,002777,14.70,0.068,33,002777.SZ,,久远银海,,,,,,,,,,,,,,
89,,600857,11.59,-0.172,17,600857.SH,224319919.0,宁波中百,-187100.0,-8596888.0,-0.08340766,14.335,-2125857.0,2604993.0,10.05,479136.0,9.3,12432605.0,43.62,9.182,7.53,3835717.0
90,,002723,12.60,2.024,33,002723.SZ,,小崧股份,,,,,,,,,,,,,,
91,,600879,6.11,0.659,17,600879.SH,606289352.0,航天电子,-510934.0,-6495645.0,-0.0842723,9.372,-609333.0,31000297.0,5.66,30390964.0,5.12,66931737.0,24.237,5.985,4.69,60436092.0
92,,600819,4.69,1.515,17,600819.SH,543750080.0,耀皮玻璃,-47600.0,-2450251.0,-0.00875402,15.625,353580.0,733061.0,8.88,1086641.0,7.95,7461733.0,52.559,10.0,6.48,5011482.0
93,,600825,3.55,1.140,17,600825.SH,590913522.0,新华传媒,4670252.0,46338152.0,0.79034441,10.638,49181249.0,15625490.0,10.4,64806739.0,9.4,48600141.0,76.597,6.297,8.4,94938293.0
94,,002792,11.09,0.910,33,002792.SZ,,通宇通讯,,,,,,,,,,,,,,
95,,600850,18.21,0.000,17,600850.SH,171031500.0,电科数字,,,,,,,,,,,,,,
96,,600875,22.02,0.091,17,600875.SH,475221754.0,东方电气,79174.0,-16377621.0,0.01666043,10.048,-4256639.0,34869134.0,23.0,30612495.0,21.35,75098392.0,37.574,6.478,18.8,58720771.0
97,,600874,6.44,0.783,17,600874.SH,1087228430.0,创业环保,244880.0,-1413591.0,0.02252333,19.032,1261858.0,8259045.0,7.38,9520903.0,6.26,27891912.0,66.874,14.24,5.02,26478321.0
98,,600892,3.89,1.567,17,600892.SH,24202950.0,大晟文化,0.0,-136438.0,0,13.71,0.0,0.0,4.23,0.0,3.82,2363358.0,57.237,6.614,3.21,2226920.0
99,,002719,7.46,0.134,33,002719.SZ,,麦趣尔,,,,,,,,,,,,,,
0,,600881,2.28,1.786,17,600881.SH,1894732058.0,亚泰集团,-5595863.0,-53967985.0,-0.29533796,13.768,-48705680.0,56208308.0,9.42,7502628.0,8.52,90909977.0,41.624,9.189,7.14,36941992.0
1,,600886,11.16,-2.019,17,600886.SH,1054628336.0,国投电力,-631826.0,-13106752.0,-0.05990983,24.846,-7121425.0,9273539.0,3.04,2152114.0,2.24,23026594.0,24.919,16.667,1.83,9919842.0
2,,002742,4.13,5.089,33,002742.SZ,,ST三圣,,,,,,,,,,,,,,
3,,002813,26.94,1.354,33,002813.SZ,,路畅科技,,,,,,,,,,,,,,
4,,600805,4.47,1.822,17,600805.SH,544216208.0,悦达投资,7278670.0,48622611.0,1.33745925,15.651,57153690.0,83789113.0,7.02,140942803.0,5.96,163018977.0,99.248,8.306,5.12,211641588.0
5,,002733,17.88,3.954,33,002733.SZ,,雄韬股份,,,,,,,,,,,,,,
6,,600887,32.81,0.768,17,600887.SH,727753173.0,伊利股份,-86039.0,3814354.0,-0.01182255,0.0,-4423825.0,46305265.0,0.0,41881440.0,0.0,62591437.0,0.0,0.0,0.0,66405791.0
7,,600828,3.43,1.780,17,600828.SH,202364066.0,茂业商业,-467858.0,-4937924.0,-0.23119618,16.588,-3448449.0,12368512.0,7.38,8920063.0,6.3,20779584.0,44.966,12.649,5.28,15841660.0
